Sample_ID	DNA_concentration	k__Bacteria	k__Archaea	k__Eukaryota	unclassified	bac_frac	Sample_type	log_copies_per_extraction	Plate	alpha
P05C04	15.82	70.91571899123426	0	0	29.08428	0.8896150527960249	next_day	8.819369924734644	P05	2.7564275308478603
P05D04	168.68	91.53450358480671	0	0	8.4655	0.9203073168022156	next_day	9.857198627158386	P05	3.3373459970835513
P05E04	93.76	93.31027116983708	0	0	6.68973	0.8935866158504285	next_day	9.469439452027606	P05	3.216804009984614
P05F04	14.46	83.68674321562303	0	0	16.31326	0.9173762944032487	next_day	8.682520963365095	P05	2.313369797726629
P05G04	23.06	88.73306190998593	0	0	11.26694	0.9440782754177068	next_day	9.1656987293665	P05	2.402310422869237
P05H04	90.31	82.89307093131535	0.9226518580374748	0	16.18428	0.885310353777642	next_day	9.659080953936757	P05	3.318454647921489
P05A05	74.6	91.17868540690915	0	0	8.82131	0.943182816115334	next_day	9.617356802096989	P05	3.441445450999434
P05B05	50.18	91.07923402878994	0	0	8.92077	0.9497651111730848	next_day	9.399505961978113	P05	2.831710003926863
P05C05	13.74	90.32479256518108	0	0	9.67521	0.9474849776628372	next_day	8.74748506544708	P05	2.554206599411611
P05D05	25.71	87.71485364997858	0	0	12.28515	0.928699317634047	next_day	9.176575241647551	P05	2.777967987163155
P05E05	100.44	93.18250966162071	0	0	6.81749	0.9603574931326004	next_day	9.84207043084017	P05	3.03430863920973
P05F05	3.42	84.86768728901191	0	0	15.13231	0.8927162158419242	next_day	6.522878745280337	P05	2.522314723757467
P05G05	79.94	78.77635444099015	0	0	21.22365	0.895202206461051	next_day	9.613721833815982	P05	1.9081870079986412
P05H05	21.72	92.12913561240256	0	0	7.87086	0.9387464583680528	next_day	8.913295632270643	P05	3.015529232438022
P05A06	51.41	93.84861317119189	0	0	6.15139	0.9334422341131188	next_day	9.47540568935968	P05	2.996572796697088
P05B06	99.92	90.25962936597756	0	0	9.74037	0.956686978790855	next_day	9.769900306370465	P05	3.4945625359075256
P05C06	57.28	91.09068894050536	0	0	8.90931	0.959262700812103	next_day	9.47354338184448	P05	2.9417624339495565
P05D06	120.48	89.058585256096	0	0	10.94141	0.9583151620318928	next_day	9.84492522392814	P05	2.912581465923173
P05E06	92.54	95.86249882642358	0	0	4.1375	0.9016749107142724	next_day	9.6969917182294445	P05	3.0433828046439877
P05F06	8.21	88.18908072830897	0	0	11.81092	0.8764720391801804	next_day	8.28988299686761	P05	3.249215112369586
P05G06	115.75	89.30818681083116	0	0	10.69181	0.8648780875033858	next_day	9.61959599876269	P05	3.0091457370168113
P05H06	32.15	89.24229031638922	0	0	10.75771	0.9119679975949244	next_day	8.85495998549294	P05	2.441925095280318
P05A07	44.38	92.51977464302296	0.0227839779324792	0	7.45744	0.9520094856798988	next_day	9.59587863571497	P05	3.7117317462713744
P05B07	28.75	84.33165282640195	0.0013351959591167	0.1730853394596812	15.49393	0.916824091049952	next_day	8.71996125319645	P05	3.1281519722873097
P05C07	6.35	86.26651183937054	0	0	13.73349	0.9250752545718312	next_day	8.236347009245224	P05	3.2123797811340147
P05D07	30.25	88.08886506995765	0	0	11.91113	0.9690103772206232	next_day	9.187222784239893	P05	3.077146359800144
P05E07	78.64	93.64836712575098	0	0	6.35163	0.905869775265366	next_day	9.408029529179466	P05	3.198035816339954
P05F07	184.73	89.42110588854362	0	0	10.57889	0.945951492870499	next_day	9.668722993565009	P05	2.9424722241387555
P05G07	49.68	93.90723299805975	0	0	6.09277	0.933937535880984	next_day	9.3646459387373	P05	3.2693439962495874
P05A08	68.62	91.49279881250806	0	0	8.5072	0.9400269774033756	next_day	9.551549304579032	P05	3.308090551563529
P05B08	67.81	87.1354614199727	0	0	12.86454	0.7189771473515179	next_day	9.534162627008316	P05	0.442456393820768
P05C08	28.34	82.14598938664219	0	0	17.85401	0.938293207724614	next_day	9.105291774379568	P05	2.626839007409251
P05D08	9.8	90.48517072198187	0	0	9.51483	0.916902823131416	next_day	8.604363397526404	P05	3.0191927785442916
P05E08	18.43	85.92542520812162	0	0	14.07457	0.890928233551172	next_day	8.30748630427819	P05	2.7801797202849747
P05F08	6.57	95.38989479885257	0	0	4.61011	0.927141135194045	next_day	8.403004484367456	P05	3.63572824588747
P05G08	62.68	97.44504816917312	0	0	2.55495	0.9072113356587006	next_day	9.727271596658351	P05	0.15303185956483434
P05H08	19.43	89.2254861646718	0	0	10.77451	0.9487293653833698	next_day	9.104065458104603	P05	2.5542307980141454
P05A09	89.29	91.68745938861872	0	0	8.31254	0.9215042052577254	next_day	9.67948950146388	P05	3.4170010446610637
P05B09	49.11	96.70879494891273	0	0	3.29121	0.901749327538084	next_day	9.201937418851616	P05	2.9107620835955395
